Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,
2023-01-03,123.2112045288086,234.423583984375,125.06999969482422,239.5800018310547,130.89999389648438,245.75,124.16999816894531,237.39999389648438,130.27999877929688,243.0800018310547,112117500,25740000
2023-01-04,124.48204803466797,224.16912841796875,126.36000061035156,229.10000610351562,128.66000366210938,232.8699951171875,125.08000183105469,225.9600067138672,126.88999938964844,232.27999877929688,89113600,50623400
2023-01-05,123.16194152832031,217.5252685546875,125.0199966430664,222.30999755859375,127.7699966430664,227.5500030517578,124.76000213623047,221.75999450683594,127.12999725341797,227.1999969482422,80962700,39585600
2023-01-06,127.69359588623047,220.0888671875,129.6199951171875,224.92999267578125,130.2899932861328,225.75999450683594,124.88999938964844,219.35000610351562,126.01000213623047,223.0,87754700,43613600
2023-01-09,128.21568298339844,222.2317657470703,130.14999389648438,227.1199951171875,133.41000366210938,231.24000549316406,129.88999938964844,226.41000366210938,130.47000122070312,226.4499969482422,70790800,27369800
2023-01-10,128.78707885742188,223.9245147705078,130.72999572753906,228.85000610351562,131.25999450683594,231.30999755859375,128.1199951171875,227.3300018310547,130.25999450683594,227.75999450683594,63896200,27033900
2023-01-11,131.50608825683594,230.69558715820312,133.49000549316406,235.77000427246094,133.50999450683594,235.9499969482422,130.4600067138672,231.11000061035156,131.25,231.2899932861328,69458900,28669300
2023-01-12,131.42727661132812,233.3765869140625,133.41000366210938,238.50999450683594,134.25999450683594,239.89999389648438,131.44000244140625,233.55999755859375,133.8800048828125,235.25999450683594,71379600,27269500
2023-01-13,132.75721740722656,234.0811309814453,134.75999450683594,239.22999572753906,134.9199981689453,239.3699951171875,131.66000366210938,234.9199981689453,132.02999877929688,237.0,57809700,21333300
2023-01-17,133.919677734375,235.17701721191406,135.94000244140625,240.35000610351562,137.2899932861328,240.91000366210938,134.1300048828125,237.08999633789062,134.8300018310547,237.97000122070312,63646600,29831300
2023-01-18,133.20050048828125,230.7347412109375,135.2100067138672,235.80999755859375,138.61000061035156,242.3800048828125,135.02999877929688,235.52000427246094,136.82000732421875,241.57000732421875,69672800,30028700
2023-01-19,133.25961303710938,226.938232421875,135.27000427246094,231.92999267578125,136.25,235.52000427246094,133.77000427246094,230.67999267578125,134.0800018310547,233.77999877929688,58280400,28623000
2023-01-20,135.82095336914062,235.04978942871094,137.8699951171875,240.22000122070312,138.02000427246094,240.74000549316406,134.22000122070312,234.50999450683594,135.27999877929688,234.86000061035156,80223600,35389800
2023-01-23,139.01280212402344,237.3590087890625,141.11000061035156,242.5800018310547,143.32000732421875,245.1699981689453,137.89999389648438,239.64999389648438,138.1199951171875,241.10000610351562,81760300,31934000
2023-01-24,140.41172790527344,236.83062744140625,142.52999877929688,242.0399932861328,143.16000366210938,243.9499969482422,140.3000030517578,240.44000244140625,140.30999755859375,242.5,66435100,40234400
2023-01-25,139.75169372558594,235.43141174316406,141.86000061035156,240.61000061035156,142.42999267578125,243.3000030517578,138.80999755859375,230.89999389648438,140.88999938964844,234.47999572753906,65799300,66526600
2023-01-26,141.82044982910156,242.66236877441406,143.9600067138672,248.0,144.25,248.30999755859375,141.89999389648438,242.0,143.1699981689453,243.64999389648438,54105100,33454500
2023-01-27,143.76116943359375,242.81893920898438,145.92999267578125,248.16000366210938,147.22999572753906,249.8300018310547,143.0800018310547,246.8300018310547,143.16000366210938,248.99000549316406,70555800,26498900
2023-01-30,140.87474060058594,237.4862060546875,143.0,242.7100067138672,145.5500030517578,245.60000610351562,142.85000610351562,242.1999969482422,144.9600067138672,244.50999450683594,64015300,25867400
2023-01-31,142.14553833007812,242.47647094726562,144.2899932861328,247.80999755859375,144.33999633789062,247.9499969482422,142.27999877929688,242.9499969482422,142.6999969482422,243.4499969482422,65874500,26541100
2023-02-01,143.2686309814453,247.3101043701172,145.42999267578125,252.75,146.61000061035156,255.17999267578125,141.32000732421875,245.47000122070312,143.97000122070312,248.0,77663600,31259900
2023-02-02,148.5785369873047,258.90509033203125,150.82000732421875,264.6000061035156,151.17999267578125,264.69000244140625,148.1699981689453,257.25,148.89999389648438,258.82000732421875,118339000,39940400
2023-02-03,152.2038116455078,252.7895965576172,154.5,258.3500061035156,157.3800048828125,264.20001220703125,147.8300018310547,257.1000061035156,148.02999877929688,259.5400085449219,154357300,29077300
2023-02-06,149.4749755859375,251.2436065673828,151.72999572753906,256.7699890136719,153.10000610351562,258.29998779296875,150.77999877929688,254.77999877929688,152.57000732421875,257.44000244140625,69858300,22518000
2023-02-07,152.3516082763672,261.8013916015625,154.64999389648438,267.55999755859375,155.22999572753906,268.7699890136719,150.63999938964844,260.0799865722656,150.63999938964844,260.5299987792969,83322600,50841400
2023-02-08,149.66213989257812,260.9892272949219,151.9199981689453,266.7300109863281,154.5800018310547,276.760009765625,151.1699981689453,266.2099914550781,153.8800048828125,273.20001220703125,64120100,54686000
2023-02-09,148.6277618408203,257.9461364746094,150.8699951171875,263.6199951171875,154.3300018310547,273.9800109863281,150.4199981689453,262.79998779296875,153.77999877929688,273.79998779296875,56007100,42375100
2023-02-10,148.99281311035156,257.4373474121094,151.00999450683594,263.1000061035156,151.33999633789062,264.0899963378906,149.22000122070312,260.6600036621094,149.4600067138672,261.5299987792969,57450700,25818500
2023-02-13,151.79489135742188,265.48046875,153.85000610351562,271.32000732421875,154.25999450683594,274.6000061035156,150.9199981689453,267.1499938964844,150.9499969482422,267.6400146484375,62199000,44630900
2023-02-14,151.15357971191406,266.31219482421875,153.1999969482422,272.1700134277344,153.77000427246094,274.9700012207031,150.86000061035156,269.2799987792969,152.1199951171875,272.6700134277344,61707600,37047900
2023-02-15,153.25514221191406,264.1835632324219,155.3300018310547,269.32000732421875,155.5,270.7300109863281,152.8800048828125,266.17999267578125,153.11000061035156,268.32000732421875,65573800,28922400
2023-02-16,151.65676879882812,257.1502685546875,153.7100067138672,262.1499938964844,156.3300018310547,266.739990234375,153.35000610351562,261.8999938964844,153.50999450683594,264.0199890136719,68167900,29603600
2023-02-17,150.51223754882812,253.13829040527344,152.5500030517578,258.05999755859375,153.0,260.0899963378906,150.85000610351562,256.0,152.35000610351562,259.3900146484375,59144100,30000100
2023-02-21,146.4966278076172,247.85107421875,148.47999572753906,252.6699981689453,151.3000030517578,255.49000549316406,148.41000366210938,251.58999633789062,150.1999969482422,254.47999572753906,58867200,28397400
2023-02-22,146.92086791992188,246.71319580078125,148.91000366210938,251.50999450683594,149.9499969482422,254.33999633789062,147.16000366210938,250.33999633789062,148.8699951171875,254.08999633789062,51011300,22491100
